"chamber" "ozone" "id" "time" "wave" "logsize"
1 "enriched"  1 152  1 4.51
1 "enriched"  1 174  2 4.98
1 "enriched"  1 201  3 5.41
1 "enriched"  1 227  4 5.90
1 "enriched"  1 258  5 6.15
1 "enriched"  1 469  6 6.16
1 "enriched"  1 496  7 6.18
1 "enriched"  1 528  8 6.48
1 "enriched"  1 556  9 6.65
1 "enriched"  1 579 10 6.87
1 "enriched"  1 613 11 6.95
1 "enriched"  1 639 12 6.99
1 "enriched"  1 674 13 7.04
1 "enriched"  2 152  1 4.24
1 "enriched"  2 174  2 4.20
1 "enriched"  2 201  3 4.68
1 "enriched"  2 227  4 4.92
1 "enriched"  2 258  5 4.96
1 "enriched"  2 469  6 5.20
1 "enriched"  2 496  7 5.22
1 "enriched"  2 528  8 5.39
1 "enriched"  2 556  9 5.65
1 "enriched"  2 579 10 5.71
1 "enriched"  2 613 11 5.78
1 "enriched"  2 639 12 5.82
1 "enriched"  2 674 13 5.85
1 "enriched"  3 152  1 3.98
1 "enriched"  3 174  2 4.36
1 "enriched"  3 201  3 4.79
1 "enriched"  3 227  4 4.99
1 "enriched"  3 258  5 5.03
1 "enriched"  3 469  6 5.87
1 "enriched"  3 496  7 5.88
1 "enriched"  3 528  8 6.04
1 "enriched"  3 556  9 6.34
1 "enriched"  3 579 10 6.49
1 "enriched"  3 613 11 6.58
1 "enriched"  3 639 12 6.65
1 "enriched"  3 674 13 6.61
1 "enriched"  4 152  1 4.36
1 "enriched"  4 174  2 4.77
1 "enriched"  4 201  3 5.10
1 "enriched"  4 227  4 5.30
1 "enriched"  4 258  5 5.36
1 "enriched"  4 469  6 5.53
1 "enriched"  4 496  7 5.56
1 "enriched"  4 528  8 5.68
1 "enriched"  4 556  9 5.93
1 "enriched"  4 579 10 6.21
1 "enriched"  4 613 11 6.26
1 "enriched"  4 639 12 6.20
1 "enriched"  4 674 13 6.19
1 "enriched"  5 152  1 4.34
1 "enriched"  5 174  2 4.95
1 "enriched"  5 201  3 5.42
1 "enriched"  5 227  4 5.97
1 "enriched"  5 258  5 6.28
1 "enriched"  5 469  6 6.50
1 "enriched"  5 496  7 6.50
1 "enriched"  5 528  8 6.79
1 "enriched"  5 556  9 6.83
1 "enriched"  5 579 10 7.10
1 "enriched"  5 613 11 7.17
1 "enriched"  5 639 12 7.21
1 "enriched"  5 674 13 7.16
1 "enriched"  6 152  1 4.59
1 "enriched"  6 174  2 5.08
1 "enriched"  6 201  3 5.36
1 "enriched"  6 227  4 5.76
1 "enriched"  6 258  5 6.00
1 "enriched"  6 469  6 6.33
1 "enriched"  6 496  7 6.34
1 "enriched"  6 528  8 6.39
1 "enriched"  6 556  9 6.78
1 "enriched"  6 579 10 6.91
1 "enriched"  6 613 11 6.99
1 "enriched"  6 639 12 7.01
1 "enriched"  6 674 13 7.05
1 "enriched"  7 152  1 4.41
1 "enriched"  7 174  2 4.56
1 "enriched"  7 201  3 4.95
1 "enriched"  7 227  4 5.23
1 "enriched"  7 258  5 5.33
1 "enriched"  7 469  6 6.13
1 "enriched"  7 496  7 6.14
1 "enriched"  7 528  8 6.36
1 "enriched"  7 556  9 6.57
1 "enriched"  7 579 10 6.78
1 "enriched"  7 613 11 6.82
1 "enriched"  7 639 12 6.81
1 "enriched"  7 674 13 6.86
1 "enriched"  8 152  1 4.24
1 "enriched"  8 174  2 4.64
1 "enriched"  8 201  3 4.95
1 "enriched"  8 227  4 5.38
1 "enriched"  8 258  5 5.48
1 "enriched"  8 469  6 5.61
1 "enriched"  8 496  7 5.63
1 "enriched"  8 528  8 5.82
1 "enriched"  8 556  9 6.18
1 "enriched"  8 579 10 6.42
1 "enriched"  8 613 11 6.48
1 "enriched"  8 639 12 6.47
1 "enriched"  8 674 13 6.46
1 "enriched"  9 152  1 4.82
1 "enriched"  9 174  2 5.17
1 "enriched"  9 201  3 5.76
1 "enriched"  9 227  4 6.12
1 "enriched"  9 258  5 6.24
1 "enriched"  9 469  6 6.48
1 "enriched"  9 496  7 6.50
1 "enriched"  9 528  8 6.77
1 "enriched"  9 556  9 7.14
1 "enriched"  9 579 10 7.26
1 "enriched"  9 613 11 7.30
1 "enriched"  9 639 12 6.91
1 "enriched"  9 674 13 7.28
1 "enriched" 10 152  1 3.84
1 "enriched" 10 174  2 4.17
1 "enriched" 10 201  3 4.67
1 "enriched" 10 227  4 4.67
1 "enriched" 10 258  5 4.80
1 "enriched" 10 469  6 4.94
1 "enriched" 10 496  7 4.94
1 "enriched" 10 528  8 5.05
1 "enriched" 10 556  9 5.33
1 "enriched" 10 579 10 5.53
1 "enriched" 10 613 11 5.56
1 "enriched" 10 639 12 5.57
1 "enriched" 10 674 13 5.60
1 "enriched" 11 152  1 4.07
1 "enriched" 11 174  2 4.31
1 "enriched" 11 201  3 4.90
1 "enriched" 11 227  4 5.10
1 "enriched" 11 258  5 5.10
1 "enriched" 11 469  6 5.26
